
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)
  Макфа Гречневые Макароны,357,"1,2",,"74,1","6,2",,"12,5",,,
   100 г
  Куриное Филе,165,"1,86","0,495",0,0,0,"34,64",98,87,382
   150 г
  Harry's Сандвичный Хлеб Пшеничный,222,"4,8","0,64","38,4","2,4",,"6,4",960,,
"   2 x 1 ломтик, 80 г"
  Магнит Банан,98,"0,11","0,11","23,98","2,86","13,2","1,65",,,
   110 г
  Natty's Арахисовая Паста Кранчи,122,"9,8",1,"4,2","1,4",0,"4,8","0,35",,
   20 г
 Перекус/Другое,385,"6,68",,"39,06","3,5",0,"39,93",,,
"  Вкусняев Молоко 1,5%",111,"3,75",,"11,75",,0,"7,5",,,
   250 г
  Bombbar PRO Whey Vanilla Plombir,125,"1,93",,"1,81",,,"24,93",,,
   34 г
  Bombbar Protein Chips Milk Chocolate,149,1,,"25,5","3,5",,"7,5",,,
   50 г

"воскресенье, февраля 23, 2025",2228,"58,26","1,85","286,93","17,26","25,2","130,65","960,35",,
 Завтрак,504,"9,45","0,1","81,55","10,6",12,"19,4",,,
  Магнит Банан,89,"0,1","0,1","21,8","2,6",12,"1,5",,,
   100 г
"  Вкусняев Молоко 1,5%",111,"3,75",,"11,75",,0,"7,5",,,
   250 г
  Ясно Солнышко Овсяные Хлопья #2,304,"5,6",,48,8,,"10,4",,,
   80 г
 Обед,1026,"32,1",,90,,,"88,8",,,
  Селяночка Рис Круглозёрный Шлифованный,396,"0,6",,90,,,"7,8",,,
   120 г
  Пава Пава Фарш Нежный Охлажденный,630,"31,5",,0,,,81,,,
   4 1/2 x 100g (450 г)
 Ужин,256,2,,"48,8",,,"9,6",,,
  Степь Агрохолдинг Гречка,256,2,,"48,8",,,"9,6",,,
   80 г
 Перекус/Другое,442,"14,71","1,75","66,58","6,66","13,2","12,85","960,35",,
  Магнит Банан,98,"0,11","0,11","23,98","2,86","13,2","1,65",,,
   110 г
  Harry's Сандвичный Хлеб Пшеничный,222,"4,8","0,64","38,4","2,4",,"6,4",960,,
"   2 x 1 ломтик, 80 г"
  Natty's Арахисовая Паста Кранчи,122,"9,8",1,"4,2","1,4",0,"4,8","0,35",,
   20 г

"понедельник, февраля 24, 2025",2187,60,"9,472","244,71","10,52","28,33","155,13","1338,35",933,716
 Завтрак,529,"6,21","0,11","100,98","2,86","13,2","18,2",,,
"  Вкусняев Молоко 1,5%",111,"3,75",,"11,75",,0,"7,5",,,
   250 г
  Магнит Банан,98,"0,11","0,11","23,98","2,86","13,2","1,65",,,
   110 г
  Maxi Vita Хлопья Гречневые,320,"2,35",,"65,25",,0,"9,05",,,
   87 г
 Обед,485,"4,36","0,495",61,0,0,"46,64",98,87,382
  Куриные Грудки,165,"1,86","0,495",0,0,0,"34,64",98,87,382
   150 г
  Степь Агрохолдинг Гречка,320,"2,5",,61,,,12,,,
   100 г
 Ужин,467,"20,34","6,198","1,54",0,"1,54","56,66",280,846,268
  Fish House Полосатый Тунец Рубленный в Собственном Соку,173,"0,46",,0,,,"31,5",,,
   130 г
  Яйцо,294,"19,88","6,198","1,54",0,"1,54","25,16",280,846,268
   200 г
 Перекус/Другое,706,"29,09","2,669","81,19","7,66","13,59","33,63","960,35",0,66
"  Вкусняев Молоко 1,5%",111,"3,75",,"11,75",,0,"7,5",,,
   250 г
  Bombbar PRO Whey Vanilla Plombir,55,"0,85",,"0,8",,,11,,,
   1/2 x 1 порция (15 г)
  Грецкие Орехи,98,"9,78","0,919","2,06",1,"0,39","2,28",0,0,66
   15 г
  Natty's Арахисовая Паста Кранчи,122,"9,8",1,"4,2","1,4",0,"4,8","0,35",,
   20 г
  Harry's Сандвичный Хлеб Пшеничный,222,"4,8","0,64","38,4","2,4",,"6,4",960,,
"   2 x 1 ломтик, 80 г"
  Магнит Банан,98,"0,11","0,11","23,98","2,86","13,2","1,65",,,
   110 г

"вторник, февраля 25, 2025",2065,"68,19","10,705","226,53","14,1","46,29","133,09","2099,35",999,909
 Завтрак,406,"29,58","8,22","5,78","1,2","4,29",28,1041,912,527
  Жареное Яйцо,388,"29,38","8,174","1,86",0,"1,66","27,12",1036,912,290
   200 г
  Помидоры,18,"0,2","0,046","3,92","1,2","2,63","0,88",5,0,237
   100 г
 Обед,421,"3,86","0,495","48,8",0,0,"44,24",98,87,382
  Степь Агрохолдинг Гречка,256,2,,"48,8",,,"9,6",,,
   80 г
  Куриные Грудки,165,"1,86","0,495",0,0,0,"34,64",98,87,382
   150 г
 Ужин,432,"19,8",,"46,8",,,"14,4",,,
  Пятерочка Сэндвич с Ветчиной,432,"19,8",,"46,8",,,"14,4",,,
   180 г
 Перекус/Другое,806,"14,95","1,99","125,15","12,9",42,"46,45","960,35",,
  Магнит Банан,214,"0,24","0,24","52,32","6,24","28,8","3,6",,,
   240 г
  Exponenta High-Pro Черника-Земляника,150,0,,"6,25",,,30,,,
   1 порцияininini (250 г)
