
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)
  Увелка Овсяные Хлопья 5 Злаков,222,"2,1",,"40,8","3,6",0,"8,4",,,
   60 г
 Обед,574,"28,7",,"57,4",,,"20,5",,,
  Домашний Очаг Котлета по-Киевски с Картофельным Пюре,574,"28,7",,"57,4",,,"20,5",,,
   410 г
 Ужин,663,"24,79",,"45,02",,,"63,53",,,
  Простоквашино Простоквашино Творог 2%,198,4,,"6,6",,,34,,,
   200 г
  Савушкин Продукт Йогурт Греческий 2%,84,"2,5",,"5,25",,,10,,,
   125 г
  Фудэксперт Люля с Картофельным Пюре,381,"18,29",,"33,17",,,"19,53",,,
   310 г
 Перекус/Другое,260,"5,03",,"26,14",,"7,2","27,11",300,,
  Ne Moloko Миндальное Молоко,150,"4,5",,"25,5",,"7,2","1,5",300,,
   300 мл
  Bombbar Casein,110,"0,53",,"0,64",,,"25,61",,,
   32 г

"воскресенье, марта 9, 2025",2268,"68,91","2,645","224,55","4,3",18,"186,44","100,2",87,919
 Завтрак,590,"10,05","0,15","87,3","1,5",18,"40,05","1,5",,537
  Пятерочка Банан,134,"0,45","0,15","34,5","1,5",18,"1,65","1,5",,537
   150 г
  Перекресток Сырники Классические,456,"9,6",,"52,8",,,"38,4",,,
   240 г
 Обед,421,"3,86","0,495","48,8",0,0,"44,24",98,87,382
  Степь Агрохолдинг Гречка,256,2,,"48,8",,,"9,6",,,
   80 г
  Куриное Филе,165,"1,86","0,495",0,0,0,"34,64",98,87,382
   150 г
 Ужин,832,"42,7",2,"60,2","2,8",0,"52,65","0,7",,
  Fish House Рыбные Палочки в Панировке,588,"23,1",,"51,8",,,"43,05",,,
   350 г
  Natty's Арахисовая Паста Кранчи,244,"19,6",2,"8,4","2,8",0,"9,6","0,7",,
   40 г
 Перекус/Другое,425,"12,3",,"28,25",,,"49,5",,,
  Дринкит Голубой Латте,143,"5,8",,"16,4",,,"5,5",,,
   100 мл
  Савушкин Продукт Йогурт Греческий 2%,84,"2,5",,"5,25",,,10,,,
   125 г
  Простоквашино Творог 2%,198,4,,"6,6",,,34,,,
   200 г

"понедельник, марта 10, 2025",2170,"75,48","15,879","186,69","3,15","6,79","178,3","2298,48",1201,1761
 Завтрак,432,"31,06","8,613","7,32","2,1","4,54","30,36",1120,953,763
  Жареное Яйцо,405,"30,7","8,542","1,95",0,"1,74","28,34",1083,953,303
   209 г
  Помидоры,18,"0,2","0,046","3,92","1,2","2,63","0,88",5,0,237
   100 г
  Шпинат,9,"0,16","0,025","1,45","0,9","0,17","1,14",32,0,223
   40 г
 Обед,805,"15,58","3,258","97,6",0,0,"63,52",589,124,364
  Куриная Грудка,293,"11,58","3,258",0,0,0,"44,32",589,124,364
   150 г
  Степь Агрохолдинг Гречка,512,4,,"97,6",,,"19,2",,,
   160 г
 Ужин,601,"19,58","4,008","51,25","1,05",0,"52,47","589,26",124,364
  Куриная Грудка,293,"11,58","3,258",0,0,0,"44,32",589,124,364
   150 г
  Natty's Арахисовая Паста Кранчи,92,"7,35","0,75","3,15","1,05",0,"3,6","0,26",,
   15 г
  Макфа Рис Длиннозерный,216,"0,65",,"48,1",,,"4,55",,,
   65 г
 Перекус/Другое,332,"9,26",,"30,52",,"2,25","31,95","0,22",,270
  Zinus Миндальное Молоко ,148,"6,48",,"20,88",,,"1,84",0,,
   360 мл
  Bombbar Casein,110,"0,53",,"0,64",,,"25,61",,,
   32 г
  Ne Moloko Банановое Молоко,74,"2,25",,9,,"2,25","4,5","0,22",,270
   225 г

"вторник, марта 11, 2025",1716,"41,05","12,522","259,98","10,6","30,5","76,53","1495,8",83,780
 Завтрак,537,"7,93","0,15","103,98","6,3",18,"14,18","1,5",,537
  Пятерочка Банан,134,"0,45","0,15","34,5","1,5",18,"1,65","1,5",,537
   150 г
  Zinus Миндальное Молоко,107,"4,68",,"15,08",,,"1,33",0,,
   260 мл
  Увелка Овсяные Хлопья 5 Злаков,296,"2,8",,"54,4","4,8",0,"11,2",,,
   80 г
 Обед,591,"8,32","2,172",90,0,0,"37,35",393,83,243
  Селяночка Рис Круглозёрный Шлифованный,396,"0,6",,90,,,"7,8",,,
   120 г
  Куриная Грудка,195,"7,72","2,172",0,0,0,"29,55",393,83,243
   100 г
 Ужин,,,,,,,,,,
 Перекус/Другое,588,"24,8","10,2",66,"4,3","12,5",25,"1101,3",,
  Вкусно и Точка  Гамбургер,251,"8,8",8,29,2,"6,7",13,1100,,
"   1 порция, 103 г"
  Вкусно и Точка  Чикенбургер,337,16,"2,2",37,"2,3","5,8",12,"1,3",,
"   1 бургер, 129 г"

"среда, марта 12, 2025",2289,"67,11","12,919","253,57","10,49","24,31","161,82","2525,68",1111,1535
 Завтрак,423,"30,9","8,588","5,87","1,2","4,37","29,22",1088,953,540
  Помидоры,18,"0,2","0,046","3,92","1,2","2,63","0,88",5,0,237
   100 г
  Жареное Яйцо,405,"30,7","8,542","1,95",0,"1,74","28,34",1083,953,303
   209 г
 Обед,539,"2,21","0,429",90,0,0,"37,82",84,75,332
  Селяночка Рис Круглозёрный Шлифованный,396,"0,6",,90,,,"7,8",,,
   120 г
  Куриное Филе,143,"1,61","0,429",0,0,0,"30,02",84,75,332
   130 г
 Ужин,451,"9,72","2,172","48,8",0,0,"39,15",393,83,243
  Степь Агрохолдинг Гречка,256,2,,"48,8",,,"9,6",,,
   80 г
  Куриная Грудка,195,"7,72","2,172",0,0,0,"29,55",393,83,243
   100 г
 Перекус/Другое,876,"24,28","1,73","108,9","9,29","19,94","55,63","960,68",,420
  Ne Moloko Банановое Молоко,116,"3,5",,14,,"3,5",7,"0,35",,420
   350 г
  Bombbar Casein,110,"0,53",,"0,64",,,"25,61",,,
   32 г
  Natty's Арахисовая Паста Кранчи,116,"9,31","0,95","3,99","1,33",0,"4,56","0,33",,
   19 г
  Harry's Сандвичный Хлеб Пшеничный,222,"4,8","0,64","38,4","2,4",,"6,4",960,,
"   2 x 1 ломтик, 80 г"
  Магнит Банан,122,"0,14","0,14","29,87","3,56","16,44","2,06",,,
   137 г
  Ёбатон Батончик со Вкусом Клубники,190,6,,22,2,,10,,,
   1 батончик (50 г)

"четверг, марта 13, 2025",1945,"59,62","8,499","217,78","2,7","21,88","135,34","1176,5",767,1235
 Завтрак,358,"22,34","6,177","14,22","1,2","3,88","24,32",782,684,455
  Жареное Яйцо,291,"22,04","6,131","1,4",0,"1,25","20,34",777,684,218
   150 г
  Помидоры,18,"0,2","0,046","3,92","1,2","2,63","0,88",5,0,237
   100 г
  Global Village Мексиканская Смесь,49,"0,1",,"8,9",,,"3,1",,,
   100 г
 Обед,362,"10,72",,"52,16",,,"13,92",,,
  Пятерочка Улитка Греческая с Курицей и Картофелем,362,"10,72",,"52,16",,,"13,92",,,
   160 г
 Ужин,595,"8,92","2,172","88,8",0,0,"37,95",393,83,243
  Куриная Грудка,195,"7,72","2,172",0,0,0,"29,55",393,83,243
   100 г
  Макфа Рис Круглозерный,400,"1,2",,"88,8",,,"8,4",,,
   120 г
 Перекус/Другое,630,"17,64","0,15","62,6","1,5",18,"59,15","1,5",,537
  Zinus Миндальное Молоко,152,"6,66",,"21,46",,,"1,89",0,,
   370 мл
  Bombbar Casein,110,"0,53",,"0,64",,,"25,61",,,
   32 г
  Пятерочка Банан,134,"0,45","0,15","34,5","1,5",18,"1,65","1,5",,537
   150 г
  Простоквашино Творог 5%,234,10,0,6,,,30,,,
   200 мл

"пятница, марта 14, 2025",2102,"64,53","8,324","236,01","1,5","19,66","140,22","1037,5",912,827
 Завтрак,462,"29,53","8,174","15,21",0,"1,66","31,77",1036,912,290
  Global Village Мексиканская Смесь,74,"0,15",,"13,35",,,"4,65",,,
   150 г
  Жареное Яйцо,388,"29,38","8,174","1,86",0,"1,66","27,12",1036,912,290
   200 г
 Обед,690,"14,25",,"91,5",,,45,,,
  Степь Агрохолдинг Гречка,480,"3,75",,"91,5",,,18,,,
   150 г
  Пава Пава Фарш Нежный Охлажденный,210,"10,5",,0,,,27,,,
   1 1/2 x 100g (150 г)
 Ужин,582,"10,3",,"88,8",,,"31,8",,,
  Макфа Рис Круглозерный,400,"1,2",,"88,8",,,"8,4",,,
   120 г
  Пава Пава Фарш Нежный Охлажденный,182,"9,1",,0,,,"23,4",,,
   130 г
 Перекус/Другое,368,"10,45","0,15","40,5","1,5",18,"31,65","1,5",,537
  Пятерочка Банан,134,"0,45","0,15","34,5","1,5",18,"1,65","1,5",,537
   150 г
  Простоквашино Творог 5%,234,10,0,6,,,30,,,
   200 мл

"суббота, марта 15, 2025",2088,"67,93","9,264","238,29","11,42","23,14","131,19","2020,37",821,861
 Завтрак,405,"26,83","7,424","12,82","3,6","4,9","27,54",1060,821,481
  Мексиканская Смесь,56,"0,39","0,067","11,14","3,6","3,41","3,13",128,0,220
   100 г
  Жареное Яйцо,349,"26,44","7,357","1,68",0,"1,49","24,41",932,821,261
   180 г
 Обед,523,"10,43",,"76,32",,,"30,16",,,380
  Макфа Крупа Гречневая,350,"2,5",,68,,,13,,,380
   100 г
  ВкусВилл Биточки из Цыплёнка с Овощами,173,"7,93",,"8,32",,,"17,16",,,
   130 г
 Ужин,432,"11,43",,"48,1",,,"32,27",,,
  Макфа Рис Круглозерный,216,"0,65",,"48,1",,,"4,55",,,
   65 г
  Пава Пава Фарш Нежный Охлажденный,216,"10,78",,0,,,"27,72",,,
   154 г
 Перекус/Другое,728,"19,24","1,84","101,05","7,82","18,24","41,22","960,37",,
  Green Milk Напиток Овсяный,140,"3,5",,"24,5",,,"3,5",,,
   350 г
  Bombbar Casein,103,"0,5",,"0,6",,,24,,,
   1 порция (30 г)
  Магнит Банан,135,"0,15","0,15","33,14","3,95","18,24","2,28",,,
   152 г
  Harry's Сандвичный Хлеб Пшеничный,222,"4,8","0,64","38,4","2,4",,"6,4",960,,
   2 x 1 ломтик (80 г)
  Natty's Арахисовая Паста Кранчи,128,"10,29","1,05","4,41","1,47",0,"5,04","0,37",,
   21 г

"воскресенье, марта 16, 2025",2264,"60,86","10,742","269,71","14,54","49,9","143,68","2098,39",999,2176
 Завтрак,530,"5,75","0,15","106,4","6,3",18,"15,35","1,5",,537
  Пятерочка Банан,134,"0,45","0,15","34,5","1,5",18,"1,65","1,5",,537
   150 г
  Увелка Овсяные Хлопья 5 Злаков,296,"2,8",,"54,4","4,8",0,"11,2",,,
   80 г
  Green Milk Напиток Овсяный,100,"2,5",,"17,5",,,"2,5",,,
   250 г
 Обед,445,"3,86","0,495","54,4",0,0,"45,04",98,87,686
  Куриное Филе,165,"1,86","0,495",0,0,0,"34,64",98,87,382
   150 г
  Макфа Крупа Гречневая,280,2,,"54,4",,,"10,4",,,304
   80 г
 Ужин,604,"30,34","8,174","1,86",0,"1,66","60,56",1036,912,290
  Жареное Яйцо,388,"29,38","8,174","1,86",0,"1,66","27,12",1036,912,290
   200 г
  Fish House Тунец Консервированный в Собственном Соку,216,"0,96",,0,0,0,"33,44",,,
   160 г
 Перекус/Другое,685,"20,91","1,923","107,05","8,24","30,24","22,73","962,89",0,663
  Яблоко Зеленое,62,"0,2","0,033","16,27","2,8","12,24","0,3",1,0,126
   140 г
  Пятерочка Банан,134,"0,45","0,15","34,5","1,5",18,"1,65","1,5",,537
   150 г
  Natty's Арахисовая Паста Кранчи,134,"10,78","1,1","4,62","1,54",0,"5,28","0,39",,
   22 г
  Harry's Сандвичный Хлеб Пшеничный,222,"4,8","0,64","38,4","2,4",,"6,4",960,,
"   2 x 1 ломтик, 80 г"
  Активия Актибио с Пробиотиками,133,"4,68",,"13,26",,,"9,1",,,
   260 г

"понедельник, марта 17, 2025",2244,"66,02","11,062","274,64","32,08","36,45","131,68","2231,85",1086,2195
 Завтрак,415,"29,74","8,245","7,23","2,1","4,46","29,14",1073,912,750
  Шпинат,9,"0,16","0,025","1,45","0,9","0,17","1,14",32,0,223
   40 г
  Помидоры,18,"0,2","0,046","3,92","1,2","2,63","0,88",5,0,237
   100 г
  Жареное Яйцо,388,"29,38","8,174","1,86",0,"1,66","27,12",1036,912,290
   200 г
 Обед,379,"2,18","0,495","48,75",0,0,"38,86",98,87,382
  Селяночка Рис Круглозёрный Шлифованный,214,"0,32",,"48,75",,,"4,22",,,
   65 г
  Куриное Филе,165,"1,86","0,495",0,0,0,"34,64",98,87,382
   150 г
 Ужин,433,"2,82","0,495","58,96","2,48",0,"40,48",98,87,382
  Federici Спагетти без Глютена из Кукурузы и Риса,268,"0,96",,"58,96","2,48",,"5,84",,,
   80 г
  Куриное Филе,165,"1,86","0,495",0,0,0,"34,64",98,87,382
   150 г
 Перекус/Другое,1017,"31,28","1,827","159,7","27,5","31,99","23,2","962,85",0,681
  Harry's Сандвичный Хлеб Пшеничный,222,"4,8","0,64","38,4","2,4",,"6,4",960,,
"   2 x 1 ломтик, 80 г"
  Пятерочка Банан,134,"0,45","0,15","34,5","1,5",18,"1,65","1,5",,537
   150 г
  Natty's Арахисовая Паста Кранчи,122,"9,8",1,"4,2","1,4",0,"4,8","0,35",,
   20 г
  Сады Придонья Сок Яблочный,240,0,0,60,,,0,,,
   500 мл
  Snaq Fabriq Snaqer Peanuts & Caramel,228,16,,4,19,,10,,,
   50 г
  Яблоко Зеленое,71,"0,23","0,037","18,6","3,2","13,99","0,35",1,0,144
   160 г

"вторник, марта 18, 2025",1944,"50,83","10,628","236,31","11,2","28,46","136,79","2136,65",999,"2323,4"
 Завтрак,415,"29,74","8,245","7,23","2,1","4,46","29,14",1073,912,750
  Жареное Яйцо,388,"29,38","8,174","1,86",0,"1,66","27,12",1036,912,290
   200 г
  Помидоры,18,"0,2","0,046","3,92","1,2","2,63","0,88",5,0,237
   100 г
  Шпинат,9,"0,16","0,025","1,45","0,9","0,17","1,14",32,0,223
   40 г
 Обед,445,"3,86","0,495","54,4",0,0,"45,04",98,87,686
  Макфа Крупа Гречневая,280,2,,"54,4",,,"10,4",,,304
   80 г
  Куриное Филе,165,"1,86","0,495",0,0,0,"34,64",98,87,382
   150 г
 Ужин,452,"1,8","0,118","100,86",4,"8,4","10,38",4,0,422
  Болгарский Перец,52,"0,6","0,118","12,06",4,"8,4","1,98",4,0,422
   200 г
  Макфа Рис Круглозерный,400,"1,2",,"88,8",,,"8,4",,,
   120 г
 Перекус/Другое,632,"15,43","1,77","73,82","5,1","15,6","52,23","961,65",,"465,4"
  Natty's Арахисовая Паста Кранчи,122,"9,8",1,"4,2","1,4",0,"4,8","0,35",,
   20 г
  Пятерочка Банан,116,"0,39","0,13","29,9","1,3","15,6","1,43","1,3",,"465,4"
   130 г
  Harry's Сандвичный Хлеб Пшеничный,222,"4,8","0,64","38,4","2,4",,"6,4",960,,
"   2 x 1 ломтик, 80 г"
  SUPPTRUE Протеин,172,"0,44",,"1,32",,,"39,6",,,
   44 г

"среда, марта 19, 2025",2333,"55,33","15,065","305,79","14,4","51,57","157,04","2298,95",1081,"2550,8"
 Завтрак,471,"30,07","8,31","18,88","5,4","9,01","31,57",1172,912,866
  Мексиканская Смесь,56,"0,39","0,067","11,14","3,6","3,41","3,13",128,0,220
   100 г
  Помидоры,27,"0,3","0,069","5,88","1,8","3,94","1,32",8,0,356
   150 г
  Жареное Яйцо,388,"29,38","8,174","1,86",0,"1,66","27,12",1036,912,290
   200 г
 Обед,506,"1,84","0,33",90,0,0,"30,89",65,58,255
  Селяночка Рис Круглозёрный Шлифованный,396,"0,6",,90,,,"7,8",,,
   120 г
  Куриное Филе,110,"1,24","0,33",0,0,0,"23,09",65,58,255
   100 г
 Ужин,421,"3,86","0,495","48,8",0,0,"44,24",98,87,382
  Куриное Филе,165,"1,86","0,495",0,0,0,"34,64",98,87,382
   150 г
  Степь Агрохолдинг Гречка,256,2,,"48,8",,,"9,6",,,
   80 г
 Перекус/Другое,935,"19,56","5,93","148,11",9,"42,56","50,34","963,95",24,"1047,8"
  Сады Придонья Сок Яблочный,96,0,0,24,,,0,,,
   200 мл
  Яблоко Зеленое,57,"0,18","0,03","15,11","2,6","11,36","0,28",1,0,117
   130 г
  Harry's Сандвичный Хлеб Пшеничный,222,"4,8","0,64","38,4","2,4",,"6,4",960,,
"   2 x 1 ломтик, 80 г"
  Natty's Арахисовая Паста Кранчи,122,"9,8",1,"4,2","1,4",0,"4,8","0,35",,
   20 г
  Пятерочка Банан,116,"0,39","0,13","29,9","1,3","15,6","1,43","1,3",,"465,4"
   130 г
  Простоквашино Творог 2%,206,4,4,"6,6",0,0,36,0,24,
   200 г
  Пятерочка Банан,116,"0,39","0,13","29,9","1,3","15,6","1,43","1,3",,"465,4"
   130 г

"четверг, марта 20, 2025",2110,"55,1","10,771","241,61","32,2","46,21","153,39","845,8",766,"1896,4"
 Завтрак,530,"5,75","0,15","106,4","6,3",18,"15,35","1,5",,537
  Увелка Овсяные Хлопья 5 Злаков,296,"2,8",,"54,4","4,8",0,"11,2",,,
   80 г
  Green Milk Напиток Овсяный,100,"2,5",,"17,5",,,"2,5",,,
   250 г
  Пятерочка Банан,134,"0,45","0,15","34,5","1,5",18,"1,65","1,5",,537
   150 г
 Обед,390,"3,24","0,33","54,4",0,0,"33,49",65,58,559
  Макфа Крупа Гречневая,280,2,,"54,4",,,"10,4",,,304
   80 г
  Куриное Филе,110,"1,24","0,33",0,0,0,"23,09",65,58,255
   100 г
 Ужин,486,"29,54","6,131","1,4",0,"1,25","51,84",777,684,218
  Зеленая Линия  Фарш из Филе Грудки,195,"7,5",,0,,,"31,5",,,
   150 г
  Жареное Яйцо,291,"22,04","6,131","1,4",0,"1,25","20,34",777,684,218
   150 г
 Перекус/Другое,704,"16,57","4,16","79,41","25,9","26,96","52,71","2,3",24,"582,4"
  Сады Придонья Сок Яблочный,96,0,0,24,,,0,,,
   200 мл
  Chikalab Chikabar Фисташковый Крем,229,12,,"3,8",22,,15,,,
   1 батончик (60 г)
  Пятерочка Банан,116,"0,39","0,13","29,9","1,3","15,6","1,43","1,3",,"465,4"
   130 г
  Простоквашино Творог 2%,206,4,4,"6,6",0,0,36,0,24,
   200 г
  Яблоко Зеленое,57,"0,18","0,03","15,11","2,6","11,36","0,28",1,0,117
   130 г

"пятница, марта 21, 2025",2208,"76,75","10,604","242,94","30,5","31,46","124,99","2542,75",970,"1046,2"
 Завтрак,548,"31,88","8,494","29,96","1,2","1,66","33,42",1516,912,290
  Harry's Сандвичный Хлеб Пшеничный,111,"2,4","0,32","19,2","1,2",,"3,2",480,,
   1 ломтик (40 г)
  Global Village Мексиканская Смесь,49,"0,1",,"8,9",,,"3,1",,,
   100 г
  Жареное Яйцо,388,"29,38","8,174","1,86",0,"1,66","27,12",1036,912,290
   200 г
 Обед,464,"6,15",,"73,7","3,1",,"28,09",,,
  Зеленая Линия  Фарш из Филе Грудки,129,"4,95",,0,,,"20,79",,,
   99 г
  Federici Спагетти без Глютена из Кукурузы и Риса,335,"1,2",,"73,7","3,1",,"7,3",,,
   100 г
 Ужин,270,"2,49","0,33","30,5",0,0,"29,09",65,58,255
  Степь Агрохолдинг Гречка,160,"1,25",,"30,5",,,6,,,
   50 г
  Куриное Филе,110,"1,24","0,33",0,0,0,"23,09",65,58,255
   100 г
 Перекус/Другое,926,"36,23","1,78","108,78","26,2","29,8","34,39","961,75",,"501,2"
  Harry's Сандвичный Хлеб Пшеничный,222,"4,8","0,64","38,4","2,4",,"6,4",960,,
"   2 x 1 ломтик, 80 г"
  Natty's Арахисовая Паста Кранчи,122,"9,8",1,"4,2","1,4",0,"4,8","0,35",,
   20 г
  Пятерочка Банан,125,"0,42","0,14","32,2","1,4","16,8","1,54","1,4",,"501,2"
   140 г
  Сады Придонья Сок Яблочный,58,0,0,"14,4",,,0,,,
   120 мл
  Росагрокомплекс Сырок Малина,199,"12,75",,"17,3",,13,"3,65",,,
   50 г
  Chikalab Chika Layers Peanut & Caramel,200,"8,46",,"2,28",21,,18,,,
   60 г

"суббота, марта 22, 2025",2604,"57,86","13,55","384,13",14,"200,62","133,16",1718,586,"829,6"
 Завтрак,766,"3,75","0,31","163,6","11,1","35,29","19,11",1,0,"100,6"
  Магнит Банан,134,"0,15","0,15","32,7","3,9",18,"2,25",,,
   150 г
  Ясно Солнышко Хлопья Рисовые,272,"0,8","0,16","59,2","2,4","0,04","5,6",,,"89,6"
   80 г
  Мёд,64,0,0,"17,3",0,"17,25","0,06",1,0,11
   1 ст л
  Увелка Овсяные Хлопья 5 Злаков,296,"2,8",,"54,4","4,8",0,"11,2",,,
   80 г
 Обед,1450,"34,28","7,38","219,41","2,9","164,21","66,06",967,64,311
  Добрый Кола,630,0,,159,,159,0,,,
"   15 x 100ml, 1500 г"
  Excess Free Брускетта с Творожным Сыром и Лососем ,278,"12,2",,"4,6",,,"37,4",,,
   200 г
  Сэндвич с Курицей,542,"22,08","7,38","55,81","2,9","5,21","28,66",967,64,311
   1 порция (220 г)
 Ужин,388,"19,83","5,86","1,12",0,"1,12","47,99",750,522,418
  Куриная Грудка,234,"9,26","2,606",0,0,0,"35,46",472,100,292
   120 г
  Вареное Яйцо,154,"10,57","3,254","1,12",0,"1,12","12,53",278,422,126
   100 г
 Перекус/Другое,,,,,,,,,,

"воскресенье, марта 23, 2025",1826,"56,25","12,26","211,57","12,86","23,87","117,84","2446,72",1045,"2175,2"
 Завтрак,444,"30,02","8,295","13,09","4,8","7,07","31,5",1061,912,896
  Помидоры,27,"0,3","0,069","5,88","1,8","3,94","1,32",8,0,356
   150 г
  Жареное Яйцо,388,"29,38","8,174","1,86",0,"1,66","27,12",1036,912,290
   200 г
"  Брокколи (Соцветия, Замороженные)",29,"0,34","0,052","5,35",3,"1,47","3,06",17,0,250
   100 г
 Обед,390,"3,24","0,33","54,4",0,0,"33,49",65,58,559
  Куриное Филе,110,"1,24","0,33",0,0,0,"23,09",65,58,255
   100 г
  Макфа Крупа Гречневая,280,2,,"54,4",,,"10,4",,,304
   80 г
 Ужин,535,"8,95","1,955","69,7",3,0,"40,59",359,75,219
  Куриная Грудка,176,"6,95","1,955",0,0,0,"26,59",354,75,219
   90 г
  Barilla Макароны Пенне Ригате,359,2,,"69,7",3,,14,5,,
   100 г
 Перекус/Другое,457,"14,04","1,68","74,38","5,06","16,8","12,26","961,72",,"501,2"
  Пятерочка Банан,125,"0,42","0,14","32,2","1,4","16,8","1,54","1,4",,"501,2"
   140 г
  Natty's Арахисовая Паста Кранчи,110,"8,82","0,9","3,78","1,26",0,"4,32","0,32",,
   18 г
  Harry's Сандвичный Хлеб Пшеничный,222,"4,8","0,64","38,4","2,4",,"6,4",960,,
"   2 x 1 ломтик, 80 г"

"понедельник, марта 24, 2025",2393,"68,38","11,862","288,19","12,1","47,84","153,78","2226,65",1115,"2003,4"
 Завтрак,474,"1,15","0,15","108,7","6,3",18,"9,25",,,
  Увелка Хлопья Рисовые,340,1,0,76,"2,4",0,7,,,
   100 г
  Магнит Банан,134,"0,15","0,15","32,7","3,9",18,"2,25",,,
   150 г
 Обед,740,"13,86","0,495","91,4",0,0,"57,04",98,87,686
  Макфа Крупа Гречневая,280,2,,"54,4",,,"10,4",,,304
   80 г
  Куриное Филе,165,"1,86","0,495",0,0,0,"34,64",98,87,382
   150 г
  Вкусно и Точка  Чикенбургер без Соуса,295,10,,37,,,12,,,
   1 порция (129 г)
 Ужин,608,"31,86","8,834","1,86",0,"1,66","73,3",1166,1028,800
  Жареное Яйцо,388,"29,38","8,174","1,86",0,"1,66","27,12",1036,912,290
   200 г
  Куриное Филе,220,"2,48","0,66",0,0,0,"46,18",130,116,510
   200 г
 Перекус/Другое,571,"21,51","2,383","86,23","5,8","28,18","14,19","962,65",0,"517,4"
  Грецкие Орехи,65,"6,52","0,613","1,37","0,7","0,26","1,52",0,0,44
   10 г
  Harry's Сандвичный Хлеб Пшеничный,222,"4,8","0,64","38,4","2,4",,"6,4",960,,
   2 x 1 ломтик (80 г)
  Natty's Арахисовая Паста Кранчи,122,"9,8",1,"4,2","1,4",0,"4,8","0,35",,
   20 г
  Пятерочка Банан,116,"0,39","0,13","29,9","1,3","15,6","1,43","1,3",,"465,4"
   130 г
  Мёд,46,0,0,"12,36",0,"12,32","0,04",1,0,8
   15 г

"вторник, марта 25, 2025",1950,"56,28","8,753","222,54","4,7","19,62","137,24","950,65",829,"1628,4"
 Завтрак,310,"22,33","6,185","5,27","1,3","3,76","21,56",786,684,482
  Жареное Яйцо,291,"22,04","6,131","1,4",0,"1,25","20,34",777,684,218
   150 г
  Помидоры,14,"0,16","0,037","3,14",1,"2,1","0,7",4,0,190
   80 г
  Руккола,5,"0,13","0,017","0,73","0,3","0,41","0,52",5,0,74
   20 г
 Обед,677,"11,56","0,33","98,6",0,0,"40,69",65,58,255
  Селяночка Рис Длиннозёрный,272,"0,32",,"61,6",,,"5,6",,,
   80 г
  Вкусно и Точка  Чикенбургер без Соуса,295,10,,37,,,12,,,
"   1 порция, 129 г"
  Куриное Филе,110,"1,24","0,33",0,0,0,"23,09",65,58,255
   100 г
 Ужин,437,"2,18","0,495","61,6",0,0,"40,24",98,87,382
  Селяночка Рис Длиннозёрный,272,"0,32",,"61,6",,,"5,6",,,
   80 г
  Куриное Филе,165,"1,86","0,495",0,0,0,"34,64",98,87,382
   150 г
 Перекус/Другое,526,"20,21","1,743","57,07","3,4","15,86","34,75","1,65",0,"509,4"
  Bombbar Casein,103,"0,5",,"0,6",,,24,,,
"   1 порция, 30 г"
  Green Milk Напиток Овсяный,120,3,,21,,,3,,,
   300 г
  Пятерочка Банан,116,"0,39","0,13","29,9","1,3","15,6","1,43","1,3",,"465,4"
   130 г
  Грецкие Орехи,65,"6,52","0,613","1,37","0,7","0,26","1,52",0,0,44
   10 г
  Natty's Арахисовая Паста Кранчи,122,"9,8",1,"4,2","1,4",0,"4,8","0,35",,
   20 г

"среда, марта 26, 2025",2184,"64,18","8,634","235,2","1,3","17,26","164,04","1103,06",970,"1314,4"
 Завтрак,963,"53,97","8,174","42,18",0,"1,66","73,87","1036,76",912,290
  Жареное Яйцо,388,"29,38","8,174","1,86",0,"1,66","27,12",1036,912,290
   200 г
  Эконива Сыр Полутвердый,95,"7,83",,0,,,"6,21",,,
   27 г
  Mission Deli Лепёшки Оригинальные,122,"2,94",,"20,16",,,"2,94","0,38",,
   42 г
  Фабрика Качества Рулет по-Деревенски Экстра,48,2,,0,,,"7,6",,,
   40 г
  Mission Deli Лепёшки Оригинальные,122,"2,94",,"20,16",,,"2,94","0,38",,
   42 г
  Индилайт Медальоны,110,"2,5",,0,,,22,,,
   100 г
  Эконива Сыр Полутвердый,78,"6,38",,0,,,"5,06",,,
   22 г
 Обед,390,"3,24","0,33","54,4",0,0,"33,49",65,58,559
  Макфа Крупа Гречневая,280,2,,"54,4",,,"10,4",,,304
   80 г
  Куриное Филе,110,"1,24","0,33",0,0,0,"23,09",65,58,255
   100 г
 Ужин,220,"2,58",,"29,22",,,"20,35",,,
  Индилайт Медальоны,82,"1,88",,0,,,"16,5",,,
   75 г
  Garda Запеченный Картофель с Розмарином,138,"0,7",,"29,22",,,"3,85",,,
   175 г
 Перекус/Другое,611,"4,39","0,13","109,4","1,3","15,6","36,33","1,3",,"465,4"
  Простоквашино Простоквашино Творог 2%,198,4,,"6,6",,,34,,,
   200 г
  Пятерочка Банан,116,"0,39","0,13","29,9","1,3","15,6","1,43","1,3",,"465,4"
   130 г
  Шарлиз Зефир Бело-Розовый,297,0,,"72,9",,,"0,9",,,
   90 г

"четверг, марта 27, 2025",1859,"63,47","11,58","195,78","6,5","24,95","146,15","3399,48",1000,"1735,4"
 Завтрак,407,"29,67","8,228","5,73","1,3","4,17","28,34",1045,912,554
  Руккола,5,"0,13","0,017","0,73","0,3","0,41","0,52",5,0,74
